,Epithelial,Fibroblast,Pericyte,Endothelial,CD4T,Macrophage,B,CD8T,DC,NK,Plasma,NKT,Mast,Monocyte
161,IGSF21,ECE1,LDLRAP1,EIF4G3,THEMIS2,HNRNPR,YTHDF2,RBBP4,FUCA1,SNRNP40,HMGN2,ZCCHC17,PUM1,YTHDF2
162,KLHDC7A,ALPL,SELENON,ECE1,RPA2,TCEA3,EPB41,SYNC,PNRC2,ZCCHC17,RPS6KA1,SERINC2,SNRNP40,EPB41
163,ALDH4A1,USP48,MTFR1L,ALPL,EYA3,ID3,SRSF4,YARS,SRSF10,PEF1,ARID1A,PEF1,ZCCHC17,SRSF4
164,IFFO2,HSPG2,STMN1,USP48,DNAJC8,RPL11,MATN1-AS1,S100PBP,IFNLR1,PTP4A2,ZDHHC18,PTP4A2,FABP3,LAPTM5
165,UBR4,CDC42,ZNF593,HSPG2,ATP5IF1,ELOA,LAPTM5,AK2,NIPAL3,KHDRBS1,GPN2,KHDRBS1,SERINC2,PUM1
166,AL035413.1,ZBTB40,SH3BGRL3,CDC42,SESN2,PITHD1,PUM1,SMIM12,RCAN3,KPNA6,GPATCH3,KPNA6,TINAGL1,SNRNP40
167,EMC1,C1QA,DHDDS,ZBTB40,PHACTR4,LYPLA2,SNRNP40,SFPQ,AL445686.2,TXLNA,NUDC,TXLNA,PEF1,ZCCHC17
168,MRTO4,C1QC,HMGN2,KDM1A,RCC1,GALE,ZCCHC17,ZMYM4,SRRM1,TMEM234,SLC9A1,TMEM234,PTP4A2,SERINC2
169,AKR7A3,C1QB,ARID1A,LUZP1,TRNAU1AP,HMGCL,FABP3,KIAA0319L,CLIC4,EIF3I,TMEM222,EIF3I,KHDRBS1,PEF1
170,AKR7A2,EPHB2,ZDHHC18,LINC01355,SNHG12,FUCA1,PEF1,AC004865.2,RUNX3,LCK,SYTL1,LCK,TMEM39B,PTP4A2
171,PQLC2,KDM1A,SFN,HNRNPR,TAF12,PNRC2,PTP4A2,PSMB2,SYF2,HDAC1,MAP3K6,HDAC1,KPNA6,KHDRBS1
172,CAPZB,LUZP1,GPN2,ZNF436,GMEB1,SRSF10,KHDRBS1,AGO1,RSRP1,MARCKSL1,WASF2,MARCKSL1,TXLNA,TMEM39B
173,MINOS1,LINC01355,GPATCH3,TCEA3,YTHDF2,IFNLR1,TMEM39B,AGO3,TMEM50A,BSDC1,AHDC1,BSDC1,CCDC28B,KPNA6
174,NBL1,HNRNPR,NUDC,ID3,EPB41,NIPAL3,KPNA6,ADPRHL2,MACO1,ZBTB8OS,IFI6,ZBTB8OS,TMEM234,CCDC28B
175,TMCO4,ZNF436,TRNP1,RPL11,SRSF4,RCAN3,TXLNA,TRAPPC3,LDLRAP1,RBBP4,FAM76A,RBBP4,EIF3I,EIF3I
176,OTUD3,TCEA3,TENT5B,ELOA,LAPTM5,SRRM1,CCDC28B,MAP7D1,SELENON,SYNC,STX12,SYNC,HDAC1,HDAC1
177,UBXN10-AS1,ASAP3,SLC9A1,PITHD1,PUM1,CLIC4,EIF3I,THRAP3,MTFR1L,YARS,PPP1R8,YARS,MARCKSL1,MARCKSL1
178,UBXN10,ID3,WDTC1,LYPLA2,SNRNP40,RUNX3,LCK,EVA1B,AL033528.2,S100PBP,THEMIS2,S100PBP,BSDC1,ZBTB8OS
179,CAMK2N1,RPL11,TMEM222,GALE,ZCCHC17,SYF2,HDAC1,STK40,PAQR7,AK2,RPA2,TMEM54,ZBTB8OS,RBBP4
180,MUL1,ELOA,MAP3K6,HMGCL,PEF1,RSRP1,MARCKSL1,LSM10,STMN1,SMIM12,SMPDL3B,AK2,RBBP4,S100PBP
181,PINK1,PITHD1,WASF2,FUCA1,PTP4A2,TMEM50A,BSDC1,MRPS15,PAFAH2,ZMYM1,XKR8,PHC2,SYNC,RNF19B
182,DDOST,LYPLA2,AHDC1,PNRC2,KHDRBS1,MACO1,ZBTB8OS,ZC3H12A,PDIK1L,SFPQ,EYA3,SMIM12,KIAA1522,AK2
183,SH2D5,GALE,IFI6,SRSF10,KPNA6,LDLRAP1,RBBP4,MEAF6,ZNF593,ZMYM4,DNAJC8,ZMYM1,YARS,ZNF362
184,HP1BP3,HMGCL,FAM76A,STPG1,TXLNA,MAN1C1,SYNC,SNIP1,SH3BGRL3,KIAA0319L,ATP5IF1,SFPQ,S100PBP,PHC2
185,EIF4G3,FUCA1,STX12,NIPAL3,CCDC28B,SELENON,YARS,GNL2,UBXN11,AC004865.2,AL353622.1,ZMYM4,RNF19B,SMIM12
186,ECE1,PNRC2,PPP1R8,RCAN3,EIF3I,MTFR1L,S100PBP,YRDC,CD52,PSMB2,SESN2,KIAA0319L,AK2,ZMYM6
187,NBPF3,SRSF10,RPA2,SRRM1,LCK,PAQR7,RNF19B,C1orf122,DHDDS,AGO1,PHACTR4,AC004865.2,SMIM12,SFPQ
188,RAP1GAP,NIPAL3,EYA3,CLIC4,HDAC1,STMN1,AK2,SF3A3,HMGN2,AGO3,RCC1,PSMB2,SFPQ,ZMYM4
189,USP48,RCAN3,DNAJC8,SYF2,MARCKSL1,PAFAH2,SMIM12,UTP11,RPS6KA1,ADPRHL2,TRNAU1AP,AGO3,ZMYM4,KIAA0319L
190,HSPG2,SRRM1,ATP5IF1,RSRP1,BSDC1,PDIK1L,SFPQ,POU3F1,ARID1A,TRAPPC3,SNHG12,ADPRHL2,KIAA0319L,PSMB2
191,CDC42,CLIC4,SESN2,TMEM50A,ZBTB8OS,ZNF593,ZMYM4,RRAGC,ZDHHC18,MAP7D1,TAF12,TRAPPC3,PSMB2,C1orf216
192,WNT4,RUNX3,PHACTR4,MACO1,RBBP4,CEP85,KIAA0319L,MYCBP,GPN2,THRAP3,AL360012.1,MAP7D1,AGO1,AGO4
193,ZBTB40,SYF2,RCC1,LDLRAP1,SYNC,SH3BGRL3,PSMB2,AKIRIN1,GPATCH3,EVA1B,GMEB1,THRAP3,AGO3,AGO1
194,C1QA,RSRP1,TRNAU1AP,MAN1C1,YARS,UBXN11,AGO1,NDUFS5,NUDC,STK40,YTHDF2,EVA1B,ADPRHL2,AGO3
195,C1QC,TMEM50A,SNHG12,SELENON,S100PBP,CD52,AGO3,MACF1,SLC9A1,LSM10,EPB41,STK40,TRAPPC3,ADPRHL2
196,C1QB,MACO1,TAF12,MTFR1L,AK2,DHDDS,ADPRHL2,PABPC4,WDTC1,MRPS15,SRSF4,LSM10,MAP7D1,COL8A2
197,EPHB2,LDLRAP1,GMEB1,PAQR7,PHC2,HMGN2,TRAPPC3,PPIE,TMEM222,ZC3H12A,MECR,MRPS15,THRAP3,TRAPPC3
198,KDM1A,MAN1C1,YTHDF2,STMN1,SMIM12,RPS6KA1,MAP7D1,CAP1,SYTL1,MEAF6,LAPTM5,ZC3H12A,EVA1B,MAP7D1
199,LUZP1,SELENON,TMEM200B,PDIK1L,ZMYM6,ARID1A,THRAP3,PPT1,WASF2,SNIP1,PUM1,MEAF6,STK40,THRAP3
200,LINC01355,MTFR1L,SRSF4,FAM110D,SFPQ,PIGV,EVA1B,RLF,AHDC1,GNL2,SNRNP40,SNIP1,LSM10,EVA1B
201,HNRNPR,PAQR7,MECR,ZNF593,ZMYM4,ZDHHC18,STK40,ZMPSTE24,FGR,C1orf122,ZCCHC17,GNL2,MRPS15,STK40
202,ZNF436,STMN1,PTPRU,SH3BGRL3,KIAA0319L,SFN,LSM10,SMAP2,IFI6,INPP5B,SERINC2,YRDC,ZC3H12A,LSM10
203,ZNF436-AS1,PAFAH2,SDC3,UBXN11,AC004865.2,GPN2,MRPS15,NFYC,FAM76A,SF3A3,PEF1,C1orf122,MEAF6,MRPS15
204,TCEA3,PDIK1L,PUM1,DHDDS,PSMB2,GPATCH3,ZC3H12A,HIVEP3,STX12,FHL3,PTP4A2,INPP5B,SNIP1,CSF3R
205,ASAP3,ZNF593,SNRNP40,HMGN2,CLSPN,NUDC,MEAF6,FOXJ3,PPP1R8,UTP11,KHDRBS1,SF3A3,GNL2,ZC3H12A
206,ID3,CNKSR1,ZCCHC17,RPS6KA1,AGO1,SLC9A1,GNL2,PPCS,THEMIS2,RRAGC,KPNA6,FHL3,C1orf109,MEAF6
207,RPL11,SH3BGRL3,FABP3,ARID1A,AGO3,WDTC1,C1orf109,PPIH,RPA2,MYCBP,TXLNA,UTP11,C1orf122,GNL2
208,ELOA,UBXN11,SERINC2,PIGV,ADPRHL2,TMEM222,YRDC,YBX1,XKR8,AKIRIN1,TMEM234,RRAGC,MTF1,C1orf109
209,ELOA-AS1,CD52,TINAGL1,ZDHHC18,TRAPPC3,SYTL1,C1orf122,P3H1,EYA3,NDUFS5,EIF3I,MYCBP,INPP5B,YRDC
210,PITHD1,DHDDS,PEF1,SFN,MAP7D1,MAP3K6,MTF1,SVBP,PTAFR,MACF1,LCK,AKIRIN1,SF3A3,C1orf122
211,LYPLA2,HMGN2,COL16A1,GPN2,THRAP3,WASF2,INPP5B,SLC2A1,DNAJC8,PABPC4,HDAC1,NDUFS5,FHL3,MTF1
212,GALE,RPS6KA1,PTP4A2,GPATCH3,EVA1B,AHDC1,SF3A3,EBNA1BP2,ATP5IF1,PPIE,MARCKSL1,MACF1,UTP11,INPP5B
213,HMGCL,ARID1A,KHDRBS1,NUDC,STK40,FGR,UTP11,ELOVL1,AL353622.1,CAP1,BSDC1,PABPC4,RRAGC,SF3A3
214,FUCA1,PIGV,TMEM39B,TRNP1,LSM10,IFI6,RRAGC,MED8,SESN2,PPT1,ZBTB8A,PPIE,MYCBP,FHL3
215,PNRC2,ZDHHC18,KPNA6,SLC9A1,MRPS15,FAM76A,MYCBP,SZT2,PHACTR4,RLF,ZBTB8OS,CAP1,AKIRIN1,UTP11
216,SRSF10,SFN,TXLNA,WDTC1,ZC3H12A,STX12,AKIRIN1,PTPRF,RCC1,ZMPSTE24,RBBP4,PPT1,NDUFS5,RRAGC
217,STPG1,GPN2,CCDC28B,TMEM222,MEAF6,PPP1R8,NDUFS5,ATP6V0B,TRNAU1AP,SMAP2,SYNC,RLF,MACF1,MYCBP
218,NIPAL3,GPATCH3,TMEM234,MAP3K6,SNIP1,THEMIS2,MACF1,DMAP1,SNHG12,NFYC,YARS,ZMPSTE24,PABPC4,AKIRIN1
219,RCAN3,NUDC,EIF3I,FCN3,GNL2,RPA2,PABPC4,ERI3,TAF12,HIVEP3,S100PBP,SMAP2,PPIE,NDUFS5
220,AL445686.2,TRNP1,HDAC1,WASF2,C1orf109,XKR8,PPIE,RNF220,AL360012.1,FOXJ3,TMEM54,NFYC,CAP1,MACF1
221,SRRM1,TENT5B,MARCKSL1,AHDC1,YRDC,EYA3,CAP1,ARMH1,GMEB1,PPCS,RNF19B,HIVEP3,PPT1,PABPC4
222,CLIC4,SLC9A1,BSDC1,FGR,C1orf122,PTAFR,PPT1,RPS8,YTHDF2,PPIH,AK2,FOXJ3,RLF,PPIE
223,RUNX3,WDTC1,ZBTB8A,LINC02574,MTF1,DNAJC8,RLF,PLK3,EPB41,YBX1,SMIM12,PPCS,ZMPSTE24,MYCL
224,SYF2,TMEM222,ZBTB8OS,IFI6,SF3A3,ATP5IF1,ZMPSTE24,UROD,SRSF4,P3H1,ZMYM6,PPIH,COL9A2,MFSD2A
225,RSRP1,SYTL1,RBBP4,FAM76A,FHL3,SESN2,SMAP2,PRDX1,MECR,SVBP,SFPQ,YBX1,SMAP2,CAP1
226,TMEM50A,MAP3K6,SYNC,STX12,UTP11,PHACTR4,NFYC,AKR1A1,LAPTM5,SLC2A1,ZMYM4,SVBP,NFYC,PPT1
227,MACO1,WASF2,YARS,PPP1R8,POU3F1,RCC1,CTPS1,NASP,SDC3,EBNA1BP2,KIAA0319L,SLC2A1,FOXJ3,RLF
228,LDLRAP1,AHDC1,S100PBP,RPA2,RRAGC,TRNAU1AP,HIVEP3,GPBP1L1,PUM1,ELOVL1,PSMB2,EBNA1BP2,PPCS,AL050341.2
229,MAN1C1,IFI6,TMEM54,XKR8,MYCBP,SNHG12,FOXJ3,TMEM69,SNRNP40,MED8,C1orf216,ELOVL1,PPIH,ZMPSTE24
230,SELENON,FAM76A,RNF19B,EYA3,AKIRIN1,TAF12,PPCS,LRRC41,ZCCHC17,SZT2,AGO1,MED8,YBX1,COL9A2
231,MTFR1L,STX12,AK2,PTAFR,NDUFS5,RAB42,PPIH,UQCRH,FABP3,HYI,AGO3,SZT2,C1orf50,SMAP2
232,PAQR7,PPP1R8,ZNF362,DNAJC8,MACF1,AL360012.1,YBX1,MKNK1,SERINC2,KDM4A,ADPRHL2,HYI,SVBP,NFYC
233,STMN1,RPA2,PHC2,ATP5IF1,PABPC4,GMEB1,SVBP,ATPAF1,PEF1,ATP6V0B,TRAPPC3,PTPRF,ZNF691,CITED4
234,PAFAH2,XKR8,SMIM12,SESN2,PPIE,YTHDF2,SLC2A1,EFCAB14,PTP4A2,DMAP1,MAP7D1,ATP6V0B,EBNA1BP2,HIVEP3
235,PDIK1L,EYA3,GJA4,MED18,CAP1,EPB41,EBNA1BP2,CMPK1,KHDRBS1,ERI3,THRAP3,DMAP1,TIE1,FOXJ3
236,ZNF593,DNAJC8,ZMYM6,PHACTR4,PPT1,SRSF4,ELOVL1,FAF1,TMEM39B,RNF220,EVA1B,ERI3,ELOVL1,PPCS
237,CNKSR1,ATP5IF1,SFPQ,RCC1,RLF,MECR,MED8,CDKN2C,KPNA6,RPS8,STK40,RNF220,MED8,PPIH
238,CEP85,SESN2,ZMYM4,TRNAU1AP,ZMPSTE24,LAPTM5,SZT2,RNF11,TXLNA,PLK3,LSM10,RPS8,SZT2,YBX1
239,SH3BGRL3,MED18,KIAA0319L,SNHG12,COL9A2,SDC3,HYI,EPS15,CCDC28B,PTCH2,MRPS15,PLK3,HYI,C1orf50
240,UBXN11,PHACTR4,PSMB2,TAF12,SMAP2,PUM1,ST3GAL3,OSBPL9,TMEM234,EIF2B3,ZC3H12A,PTCH2,PTPRF,SVBP
241,CD52,RCC1,C1orf216,GMEB1,NFYC,SNRNP40,DPH2,NRDC,EIF3I,HECTD3,MEAF6,EIF2B3,KDM4A,EBNA1BP2
242,DHDDS,TRNAU1AP,AGO4,YTHDF2,CTPS1,ZCCHC17,ATP6V0B,TXNDC12,LCK,TOE1,SNIP1,UROD,ST3GAL3,ELOVL1
243,HMGN2,SNHG12,AGO1,EPB41,HIVEP3,FABP3,DMAP1,BTF3L4,HDAC1,PRDX1,GNL2,PRDX1,ATP6V0B,MED8
244,RPS6KA1,TAF12,AGO3,SRSF4,FOXJ3,SERINC2,RNF220,PRPF38A,MARCKSL1,AKR1A1,C1orf109,AKR1A1,DMAP1,SZT2
245,ARID1A,GMEB1,ADPRHL2,MECR,PPCS,PEF1,ARMH1,TUT4,BSDC1,NASP,YRDC,NASP,ERI3,HYI
246,PIGV,YTHDF2,TRAPPC3,LAPTM5,PPIH,PTP4A2,RPS8,GPX7,ZBTB8A,GPBP1L1,C1orf122,GPBP1L1,RNF220,ATP6V0B
247,ZDHHC18,EPB41,MAP7D1,SDC3,YBX1,KHDRBS1,PLK3,SHISAL2A,ZBTB8OS,TMEM69,MTF1,TMEM69,ARMH1,DMAP1
248,SFN,TMEM200B,THRAP3,PUM1,P3H1,TMEM39B,UROD,ZYG11B,RBBP4,IPP,INPP5B,IPP,RPS8,ERI3
249,GPN2,SRSF4,EVA1B,SNRNP40,SVBP,KPNA6,TESK2,ECHDC2,SYNC,PIK3R3,SF3A3,PIK3R3,PLK3,RNF220
250,GPATCH3,MECR,STK40,ZCCHC17,SLC2A1,TXLNA,PRDX1,SCP2,YARS,LRRC41,UTP11,LRRC41,BTBD19,TMEM53
251,NUDC,PTPRU,LSM10,SERINC2,EBNA1BP2,CCDC28B,AKR1A1,C1orf123,S100PBP,UQCRH,RRAGC,UQCRH,PTCH2,ARMH1
252,KDF1,LAPTM5,MRPS15,TINAGL1,ELOVL1,TMEM234,NASP,MAGOH,TMEM54,NSUN4,MYCBP,MKNK1,HECTD3,RPS8
253,TRNP1,SDC3,ZC3H12A,PEF1,MED8,EIF3I,GPBP1L1,HSPB11,RNF19B,MKNK1,AKIRIN1,ATPAF1,UROD,PLK3
254,TENT5B,PUM1,MEAF6,PTP4A2,SZT2,LCK,TMEM69,TMEM59,AK2,ATPAF1,NDUFS5,EFCAB14,TOE1,BTBD19
255,SLC9A1,SNRNP40,SNIP1,KHDRBS1,HYI,HDAC1,LRRC41,MRPL37,ZNF362,EFCAB14,MACF1,CYP4Z1,PRDX1,PTCH2
256,WDTC1,ZCCHC17,GNL2,TMEM39B,PTPRF,MARCKSL1,UQCRH,SSBP3,PHC2,CMPK1,PABPC4,PDZK1IP1,AKR1A1,EIF2B3
257,TMEM222,FABP3,C1orf109,KPNA6,ATP6V0B,BSDC1,NSUN4,USP24,SMIM12,CDKN2C,PPIE,CMPK1,NASP,UROD
258,SYTL1,SERINC2,YRDC,TXLNA,DMAP1,ZBTB8A,MKNK1,OMA1,ZMYM6,RNF11,BMP8B,FAF1,GPBP1L1,TESK2
259,MAP3K6,TINAGL1,C1orf122,CCDC28B,ERI3,ZBTB8OS,EFCAB14,TACSTD2,ZMYM1,EPS15,MFSD2A,CDKN2C,TMEM69,PRDX1
260,CD164L2,PEF1,MTF1,TMEM234,RNF220,RBBP4,CMPK1,MYSM1,SFPQ,OSBPL9,CAP1,RNF11,PIK3R3,AKR1A1
261,WASF2,COL16A1,INPP5B,EIF3I,ARMH1,SYNC,BEND5,JUN,ZMYM4,NRDC,PPT1,EPS15,POMGNT1,NASP
262,AHDC1,ADGRB2,SF3A3,FAM167B,RPS8,KIAA1522,RNF11,TM2D1,KIAA0319L,TXNDC12,RLF,OSBPL9,LRRC41,GPBP1L1
263,IFI6,SPOCD1,FHL3,LCK,PLK3,YARS,EPS15,PATJ,PSMB2,BTF3L4,ZMPSTE24,NRDC,UQCRH,TMEM69
264,FAM76A,PTP4A2,UTP11,HDAC1,EIF2B3,S100PBP,OSBPL9,USP1,AGO4,PRPF38A,COL9A2,TXNDC12,NSUN4,PIK3R3
265,STX12,KHDRBS1,RRAGC,MARCKSL1,UROD,TMEM54,NRDC,ALG6,AGO1,TUT4,SMAP2,BTF3L4,MKNK1,POMGNT1
266,PPP1R8,TMEM39B,MYCBP,FAM229A,MUTYH,RNF19B,TXNDC12,ITGB3BP,AGO3,SHISAL2A,NFYC,PRPF38A,ATPAF1,LRRC41
267,RPA2,KPNA6,AKIRIN1,BSDC1,TOE1,AK2,KTI12,JAK1,ADPRHL2,ECHDC2,SCMH1,TUT4,EFCAB14,UQCRH
268,SMPDL3B,TXLNA,NDUFS5,ZBTB8A,PRDX1,ZNF362,BTF3L4,LEPROT,COL8A2,SCP2,FOXJ3,SHISAL2A,TAL1,NSUN4
269,XKR8,CCDC28B,MACF1,ZBTB8OS,AKR1A1,PHC2,PRPF38A,PDE4B,TRAPPC3,C1orf123,PPCS,ECHDC2,CMPK1,MKNK1
270,EYA3,TMEM234,PABPC4,RBBP4,NASP,SMIM12,TUT4,MIER1,MAP7D1,MAGOH,PPIH,SCP2,FAF1,ATPAF1
271,DNAJC8,EIF3I,HEYL,SYNC,GPBP1L1,ZMYM6,GPX7,SERBP1,THRAP3,YIPF1,YBX1,C1orf123,CDKN2C,EFCAB14
272,ATP5IF1,HDAC1,PPIE,KIAA1522,TMEM69,ZMYM1,SHISAL2A,GADD45A,SH3D21,HSPB11,P3H1,MAGOH,RNF11,CMPK1
273,AL353622.1,MARCKSL1,OXCT2,YARS,POMGNT1,SFPQ,ZYG11B,SRSF11,EVA1B,TMEM59,SVBP,YIPF1,EPS15,SPATA6
274,SESN2,FAM229A,TRIT1,S100PBP,LRRC41,ZMYM4,ECHDC2,ANKRD13C,STK40,MRPL37,EBNA1BP2,HSPB11,OSBPL9,FAF1
275,MED18,BSDC1,MFSD2A,TMEM54,UQCRH,KIAA0319L,SCP2,ZRANB2,LSM10,SSBP3,TMEM125,TMEM59,NRDC,RNF11
276,PHACTR4,ZBTB8A,CAP1,RNF19B,NSUN4,PSMB2,C1orf123,TYW3,MRPS15,USP24,ELOVL1,MRPL37,TXNDC12,EPS15
277,RCC1,ZBTB8OS,PPT1,AK2,MKNK1,C1orf216,MAGOH,ACADM,CSF3R,OMA1,MED8,DHCR24,BTF3L4,OSBPL9
278,TRNAU1AP,RBBP4,RLF,ZNF362,ATPAF1,CLSPN,YIPF1,RABGGTB,ZC3H12A,TACSTD2,SZT2,USP24,PRPF38A,NRDC
279,SNHG12,SYNC,AL050341.2,PHC2,EFCAB14,AGO4,HSPB11,PIGK,MEAF6,MYSM1,HYI,OMA1,TUT4,TXNDC12
280,TAF12,KIAA1522,ZMPSTE24,SMIM12,CMPK1,AGO1,TMEM59,AC118549.1,SNIP1,JUN,PTPRF,TACSTD2,ZYG11B,BTF3L4
281,RAB42,YARS,SMAP2,GJA4,FAF1,AGO3,TCEANC2,USP33,GNL2,TM2D1,KDM4A,MYSM1,ECHDC2,CC2D1B
282,GMEB1,S100PBP,NFYC,ZMYM6,CDKN2C,ADPRHL2,MRPL37,MIGA1,C1orf109,PATJ,ST3GAL3,JUN,SCP2,PRPF38A
283,YTHDF2,TMEM54,CITED4,ZMYM1,RNF11,COL8A2,SSBP3,FUBP1,YRDC,USP1,DPH2,NFIA,C1orf123,TUT4
284,EPB41,RNF19B,CTPS1,SFPQ,EPS15,TRAPPC3,USP24,DNAJB4,C1orf122,ALG6,ATP6V0B,TM2D1,MAGOH,ZYG11B
285,SRSF4,AK2,SCMH1,ZMYM4,OSBPL9,MAP7D1,PLPP3,AC103591.3,MTF1,ITGB3BP,DMAP1,PATJ,YIPF1,ECHDC2
286,MECR,AZIN2,HIVEP3,KIAA0319L,NRDC,THRAP3,OMA1,IFI44L,INPP5B,PGM1,ERI3,USP1,HSPB11,SCP2
287,PTPRU,ZNF362,FOXJ3,PSMB2,TXNDC12,SH3D21,TACSTD2,IFI44,SF3A3,JAK1,RNF220,ALG6,TMEM59,CPT2
288,LAPTM5,PHC2,PPCS,C1orf216,BTF3L4,EVA1B,MYSM1,PRKACB,FHL3,AK4,RPS8,ITGB3BP,MRPL37,C1orf123
289,SDC3,SMIM12,PPIH,CLSPN,CC2D1B,AL591845.1,JUN,RPF1,UTP11,LEPROT,PLK3,PGM1,SSBP3,MAGOH
290,PUM1,ZMYM6,YBX1,AGO4,PRPF38A,STK40,TM2D1,GNG5,RRAGC,PDE4B,PTCH2,JAK1,ACOT11,YIPF1
291,NKAIN1,ZMYM1,P3H1,AGO1,TUT4,LSM10,PATJ,CTBS,MYCBP,MIER1,EIF2B3,AK4,DHCR24,HSPB11
292,SNRNP40,SFPQ,C1orf50,AGO3,GPX7,MRPS15,USP1,MCOLN2,AKIRIN1,SLC35D1,HECTD3,LEPROT,USP24,TMEM59
293,ZCCHC17,ZMYM4,SVBP,ADPRHL2,SHISAL2A,CSF3R,DOCK7,C1orf52,NDUFS5,SERBP1,UROD,PDE4B,OMA1,TCEANC2
294,FABP3,KIAA0319L,SLC2A1,TRAPPC3,ZYG11B,ZC3H12A,ATG4C,BCL10,MACF1,GADD45A,MUTYH,MIER1,TACSTD2,MRPL37
295,SERINC2,PSMB2,EBNA1BP2,MAP7D1,ECHDC2,MEAF6,ITGB3BP,ZNHIT6,PABPC4,LRRC40,TOE1,SERBP1,MYSM1,SSBP3
296,TINAGL1,C1orf216,CDC20,THRAP3,SCP2,SNIP1,PGM1,ODF2L,PPIE,SRSF11,TESK2,GADD45A,JUN,USP24
297,PEF1,AGO4,ELOVL1,EVA1B,C1orf123,DNALI1,JAK1,SH3GLB1,OXCT2,ZRANB2,PRDX1,GNG12,NFIA,OMA1
298,COL16A1,AGO1,MED8,STK40,MAGOH,GNL2,LEPROT,SELENOF,TRIT1,CRYZ,AKR1A1,LRRC40,TM2D1,TACSTD2
299,ADGRB2,AGO3,SZT2,LSM10,YIPF1,C1orf109,PDE4B,LMO4,MYCL,TYW3,NASP,SRSF11,USP1,MYSM1
300,SPOCD1,ADPRHL2,HYI,MRPS15,HSPB11,YRDC,MIER1,PKN2,MFSD2A,ACADM,GPBP1L1,ANKRD13C,ATG4C,JUN
301,PTP4A2,COL8A2,PTPRF,ZC3H12A,LRRC42,C1orf122,SERBP1,GTF2B,CAP1,RABGGTB,TMEM69,ZRANB2,ALG6,NFIA
302,KHDRBS1,TRAPPC3,KDM4A,MEAF6,TMEM59,MTF1,GADD45A,KYAT3,PPT1,PIGK,IPP,CRYZ,ITGB3BP,TM2D1
303,TMEM39B,MAP7D1,ST3GAL3,SNIP1,MRPL37,INPP5B,LRRC40,RBMXL1,RLF,AC118549.1,PIK3R3,TYW3,PGM1,L1TD1
304,KPNA6,THRAP3,ARTN,GNL2,SSBP3,SF3A3,SRSF11,GBP3,AL050341.2,USP33,TSPAN1,ACADM,JAK1,USP1
305,TXLNA,EVA1B,IPO13,C1orf109,USP24,FHL3,ANKRD13C,GBP1,ZMPSTE24,MIGA1,POMGNT1,RABGGTB,LEPROT,DOCK7
306,CCDC28B,STK40,DPH2,YRDC,OMA1,UTP11,ZRANB2,GBP2,COL9A2,FUBP1,LRRC41,PIGK,TCTEX1D1,ATG4C
307,IQCC,LSM10,ATP6V0B,C1orf122,TACSTD2,RRAGC,CRYZ,GBP4,SMAP2,DNAJB4,UQCRH,AC118549.1,MIER1,PGM1
308,TMEM234,OSCP1,B4GALT2,MTF1,MYSM1,MYCBP,TYW3,GBP5,EXO5,AC103591.3,NSUN4,USP33,SLC35D1,JAK1
309,EIF3I,MRPS15,SLC6A9,INPP5B,JUN,AKIRIN1,ACADM,LRRC8B,ZNF684,IFI44L,FAAH,MIGA1,SERBP1,AK4
310,HDAC1,ZC3H12A,DMAP1,SF3A3,NFIA,NDUFS5,RABGGTB,LRRC8C,NFYC,IFI44,MKNK1,FUBP1,GADD45A,LEPROT
311,MARCKSL1,MEAF6,ERI3,FHL3,TM2D1,MACF1,AC118549.1,ZNF326,CITED4,PRKACB,MOB3C,DNAJB4,LRRC40,PDE4B
312,FAM229A,SNIP1,RNF220,UTP11,PATJ,PABPC4,USP33,ZNF644,CTPS1,RPF1,ATPAF1,AC103591.3,SRSF11,MIER1
313,BSDC1,DNALI1,RPS8,RRAGC,USP1,PPIE,MIGA1,TGFBR3,HIVEP3,GNG5,EFCAB14,IFI44L,ANKRD13C,SERBP1
314,ZBTB8A,GNL2,PLK3,MYCBP,ALG6,MYCL,FUBP1,GLMN,FOXJ3,CTBS,CMPK1,IFI44,ZRANB2,GADD45A
315,ZBTB8OS,RSPO1,BTBD19,AKIRIN1,ITGB3BP,MFSD2A,DNAJB4,RPAP2,PPCS,MCOLN2,FAF1,PRKACB,FPGT,SRSF11
316,RBBP4,C1orf109,PTCH2,NDUFS5,PGM1,CAP1,AC103591.3,GFI1,PPIH,C1orf52,CDKN2C,RPF1,CRYZ,ZRANB2
317,SYNC,YRDC,EIF2B3,MACF1,JAK1,PPT1,IFI44L,RPL5,YBX1,BCL10,RNF11,GNG5,TYW3,FPGT
318,KIAA1522,C1orf122,HECTD3,PABPC4,LEPROT,RLF,IFI44,MTF2,P3H1,ZNHIT6,EPS15,CTBS,ACADM,TYW3
319,YARS,MTF1,UROD,PPIE,PDE4B,ZMPSTE24,LINC01781,TMED5,C1orf50,ODF2L,OSBPL9,MCOLN2,RABGGTB,ACADM
320,S100PBP,INPP5B,MUTYH,TRIT1,MIER1,COL9A2,PRKACB,DR1,SVBP,SH3GLB1,NRDC,C1orf52,PIGK,RABGGTB
321,TMEM54,SF3A3,TOE1,MFSD2A,SLC35D1,SMAP2,RPF1,DNTTIP2,ERMAP,SELENOF,RAB3B,BCL10,AC118549.1,PIGK
