,Epithelial,CD4T,Mast,Macrophage,CD8T,DC,Fibroblast,Endothelial,NKT,NK,B,Monocyte,Plasma
1261,EPB41L3,CDC34,BTAF1,DNM1L,TBC1D10A,FKBP1A,APLP2,TXNDC16,NUDC,PSMD8,HNRNPM,SETD1A,BFAR
1262,COBLL1,MTAP,IKZF5,ERGIC2,SF3A1,NSFL1C,FAM234B,C14ORF166,MAEA,SETD1A,MARCH2,BCL7C,RBL2
1263,DLG3,POLR2E,SORBS1,AURKA,SEC14L2,C20ORF194,WBP11,NID2,ICAM1,BCL7C,NDUFB7,CIRBP,QPRT
1264,SERTAD4,POLRMT,BAMBI,CASS4,SPECC1L,EBF4,EIF3I,GMCL1,STRN4,CIRBP,TECR,ATP5D,PYCARD
1265,TRAF5,IZUMO4,WAC,PIR,PPIL2,MAVS,COL16A1,SF3B2,IRAK3,ATP5D,TIMM13,HNRNPM,MAZ
1266,MRPL22,RASSF7,CREM,AAMDC,YPEL1,XRN2,TXLNA,KLHL42,LYZ,HNRNPM,CDC34,MARCH2,STX4
1267,GEMIN5,GADD45B,NUBP2,RFX2,SNRPD3,KIZ,NCOA1,GNAS,MUL1,MARCH2,MTAP,NDUFB7,CDIPT
1268,NFE2L1,MKNK2,TPSD1,METTL2A,PES1,DYNLL1,AGBL5,DNM1L,PDCD7,NDUFB7,POLR2E,TECR,BCKDK
1269,GSK3B,TRMT2A,HIVEP1,ALG6,MAPK1,TESC,KIF3C,PTHLH,SPG21,TECR,POLRMT,TIMM13,KAT8
1270,ITGB5,RANBP1,TREM2,CNOT3,GGT1,SNX5,RAB10,ERGIC2,DNAJB11,TIMM13,IZUMO4,CDC34,IL21R
1271,ERC1,KLHL22,FKBP5,PTPN4,PPM1F,RPL6,HADHA,PIR,FLT3LG,CDC34,RASSF7,MTAP,C16ORF62
1272,XPO1,MED15,SRPK1,DDX18,SLC35E4,MAPKAPK5,MAPRE3,AAMDC,GNPTG,MTAP,GADD45B,POLR2E,LACTB
1273,RNF13,SNAP29,MRPS18A,KHSRP,TOP3B,P2RX7,CAD,RFX2,ZNF268,POLR2E,MKNK2,POLRMT,CSK
1274,PALB2,CRKL,PGC,GNA11,CYTH4,ESF1,CD59,METTL2A,GOLGA3,POLRMT,TRMT2A,IZUMO4,HERC1
1275,DOPEY1,LZTR1,TMEM14A,EDEM2,DGCR14,RBBP9,CD82,ALG6,PABPC4,RASSF7,RANBP1,RASSF7,MTFMT
1276,LYRM2,SMARCB1,EFHC1,TPX2,MFNG,ANAPC5,BCORL1,CNOT3,CERS4,GADD45B,KLHL22,GADD45B,RAB11A
1277,BCKDHB,BCL2L13,HSP90AB1,PDRG1,SLC25A1,SLC23A2,ATRX,PTPN4,MCOLN1,MKNK2,MED15,MKNK2,CTSH
1278,KAT6A,DDT,CDC5L,EPB41L1,GGA1,SLC8B1,AK6,DDX18,USP48,ARVCF,SNAP29,TRMT2A,HOMER2
1279,ZCCHC6,OSM,ITPR3,ANKRD10,HIRA,TMEM230,FCN1,KHSRP,EFNB1,TRMT2A,CRKL,RANBP1,EHD4
1280,ULK2,CABIN1,ZNF184,TGDS,SH3BP1,DZANK1,MYNN,GNA11,PDPR,RANBP1,LZTR1,ZDHHC8,TMEM87A
1281,GRHL2,TBC1D10A,SIRT1,C3ORF18,LGALS1,KDM2B,MECOM,ASAP3,AARS,ZDHHC8,MMP11,KLHL22,ZNF106
1282,TNPO1,SF3A1,HNRNPH3,COQ9,HPS4,TASP1,SCAMP1,EDEM2,GLG1,KLHL22,SMARCB1,MED15,CEP152
1283,PLOD1,SEC14L2,IFT74,KIF9,PIK3IP1,OAS1,PREP,DNMT3B,KIF4A,MED15,DERL3,SNAP29,DTWD1
1284,ITGAE,SPECC1L,JAK2,CRLS1,SRRD,GCN1,HACE1,PDRG1,TNRC6A,SNAP29,BCL2L13,CRKL,GABPB1
1285,DIS3,PPIL2,IL12RB1,PPP1R13B,PATZ1,RPLP0,SEH1L,EPB41L1,PLEKHG2,CRKL,DDT,LZTR1,EIF3J
1286,PIBF1,YPEL1,ACOT7,ATRN,TRIOBP,PXN,WDR47,DOCK9,NAT14,LZTR1,OSM,SMARCB1,SPG11
1287,TDRD3,SNRPD3,SH3GLB1,SMOX,TFIP11,KIF16B,WDFY1,ANKRD10,EXOC1,SMARCB1,CABIN1,BCL2L13,SLC30A4
1288,NUFIP1,PES1,SCD,SIGLEC1,ANKRD54,TRMT6,SLC25A24,TGDS,RBM27,BCL2L13,TBC1D10A,DDT,BLOC1S6
1289,PDS5B,MAPK1,TMED1,FKBP1A,EIF3L,PEBP1,MAP3K4,COQ9,OSBPL8,DDT,SF3A1,OSM,CSPP1
1290,OXCT1,GGT1,ERMP1,NSFL1C,SNU13,BRAP,PILRA,KIF9,DTX2,OSM,PPIL2,CABIN1,ZDHHC2
1291,RRAGB,PPM1F,RAB18,C20ORF194,POLR2F,ERP29,ABCB1,ARHGAP28,PUS7,CABIN1,YPEL1,TBC1D10A,ZFAND1
1292,CYLD,SLC35E4,NRP1,MAVS,DDX17,FUS,ZNF213,CRLS1,DLD,TBC1D10A,SNRPD3,SF3A1,FZD3
1293,SLC27A5,TOP3B,H2AFY2,XRN2,TCF20,IGBP1,AKR1B1,PPP1R13B,WDR7,SF3A1,PES1,SPECC1L,RIPK2
1294,ZNF324,CYTH4,FAM21A,KIZ,HSCB,FXYD5,CPNE3,ATRN,TXNL1,SPECC1L,MAPK1,PPIL2,DECR1
1295,ZNF586,DGCR14,MZF1,DYNLL1,CBY1,ZNF302,RRN3,SMOX,CMTM6,PPIL2,PPM1F,SNRPD3,LAPTM4B
1296,ZNF446,MFNG,OCEL1,TESC,TOMM22,GRAMD1A,CTTN,FKBP1A,ITGA6,YPEL1,SLC35E4,PES1,UBE2W
1297,ZNF264,SLC25A1,MYO9B,SNX5,XBP1,FXYD3,WNT11,NSFL1C,AC013461.1,SNRPD3,CYTH4,MAPK1,IKBKB
1298,RPS5,GGA1,KCNK6,RPL6,RTCB,CDIP1,MTIF2,C20ORF194,FH,PES1,DGCR14,PPM1F,RAB2A
1299,FAT1,SH3BP1,CATSPERG,MAPKAPK5,JOSD1,GANAB,DDHD2,EBF4,SEL1L3,MAPK1,MFNG,SLC35E4,EIF3E
1300,YTHDC1,LGALS1,PSMD8,P2RX7,FBXO7,GMIP,EPS15,CPXM1,CDV3,PPM1F,LRP5L,TOP3B,EMC2
1301,CHMP2B,HPS4,HSD3B7,ESF1,GTPBP1,RBM41,MGST2,MAVS,ALKBH5,SLC35E4,SLC25A1,CYTH4,NDRG1
1302,SMAP2,PIK3IP1,BCL7C,RBBP9,POLDIP3,BIRC5,CHERP,XRN2,NLRP1,TOP3B,GRK3,DGCR14,ZC2HC1A
1303,PPIE,SRRD,CIRBP,ANAPC5,PPP6R2,LAG3,ATG16L1,KIZ,SPAG7,CYTH4,GGA1,MFNG,SPAG1
1304,ZMPSTE24,PATZ1,ATP5D,SLC23A2,SBF1,MLF2,USP40,DYNLL1,ORC6,DGCR14,SH3BP1,LRP5L,CHRAC1
1305,STARD7,TRIOBP,HNRNPM,SLC8B1,SUN2,OTUB2,POMGNT1,TESC,ZC3HC1,MFNG,LGALS1,SLC25A1,GSDMD
1306,NOA1,TFIP11,MARCH2,TMEM230,CYB5R3,DDX24,MAST2,SNX5,ANGPT2,SLC25A1,HPS4,GRK3,TSTA3
1307,REST,ANKRD54,NDUFB7,DZANK1,DNAL4,ZBTB25,DNAJA1,RPL6,TMEM101,GGA1,PIK3IP1,LGALS2,EEF1D
1308,HAL,EIF3L,TECR,KDM2B,LMF2,NECAP1,B4GALT1,MAPKAPK5,CD200,HIRA,SRRD,GGA1,SQLE
1309,SSH1,SNU13,TIMM13,TASP1,RHBDD3,ARHGAP4,CHMP5,P2RX7,PSME1,SH3BP1,PATZ1,HIRA,SH2D4A
1310,GSTP1,POLR2F,CDC34,OAS1,PACSIN2,DHX32,NFX1,ESF1,PPP2R3C,LGALS1,TRIOBP,SH3BP1,INTS10
1311,APLP2,PICK1,MTAP,GCN1,TTLL1,RCOR1,DIMT1,RBBP9,HAUS4,HPS4,TFIP11,LGALS1,ERI1
1312,FAM234B,DDX17,POLR2E,RPLP0,AP1B1,GPATCH2L,IPO11,ANAPC5,OSGEP,PIK3IP1,ANKRD54,HPS4,MTMR9
1313,WBP11,TCF20,POLRMT,PXN,HMGXB4,LTBP4,FOLH1,SLC23A2,SCFD1,SRRD,EIF3L,PIK3IP1,LEPROTL1
1314,EIF3I,HSCB,RASSF7,KIF16B,TOM1,BLVRB,EIF2AK1,SLC8B1,G2E3,PATZ1,SNU13,SRRD,DCTN6
1315,COL16A1,CBY1,GADD45B,TRMT6,CHKB,SLC9A1,EPDR1,TMEM230,HECTD1,TRIOBP,POLR2F,TRIOBP,R3HCC1
1316,TXLNA,TOMM22,MKNK2,PEBP1,BIK,SPTLC1,SNX10,KDM2B,HNRNPC,TFIP11,DEPDC5,TFIP11,TNFRSF10A
1317,NCOA1,XBP1,TRMT2A,BRAP,HMOX1,PAPOLA,SEPHS1,TASP1,SUPT16H,ANKRD54,PICK1,ANKRD54,ERICH1
1318,AGBL5,RTCB,RANBP1,ERP29,THOC5,CCNK,MRPL28,OAS1,TOX4,EIF3L,DDX17,EIF3L,KLHDC4
1319,EFR3B,JOSD1,KLHL22,FUS,MCM5,PCBP4,ITPKC,GCN1,GEMIN2,SNU13,TCF20,SNU13,MCM4
1320,RAB10,FBXO7,MED15,IGBP1,APOBEC3H,RGS1,CEACAM6,RPLP0,TINF2,MICALL1,HSCB,POLR2F,ASAH1
1321,HADHA,GTPBP1,SNAP29,FXYD5,ARSA,YPEL3,RBM22,PXN,TRPM7,POLR2F,CBY1,CCDC134,BNIP3L
1322,MAPRE3,POLDIP3,CRKL,ZNF302,TSPO,MRPS33,TMED2,KIF16B,WDR76,CCDC134,TOMM22,PICK1,MAN2B1
1323,CAD,PPP6R2,MMP11,GRAMD1A,CBX7,NDUFB2,ERO1B,TRMT6,SNAP23,DEPDC5,XBP1,DDX17,NUCB1
1324,CD59,SBF1,SMARCB1,FXYD3,RPL3,NUDC,ZFAND6,PEBP1,PHGDH,PICK1,RTCB,TCF20,GYS1
1325,CD82,SUN2,BCL2L13,CDIP1,ZMAT5,MAEA,TXLNG,BRAP,EZR,DDX17,JOSD1,HSCB,MAP4K1
1326,BCORL1,CYB5R3,DDT,GANAB,SYNGR1,ICAM1,LAT2,ERP29,MYL6,TCF20,FBXO7,TOMM22,ECH1
1327,ATRX,DNAL4,OSM,GMIP,TAB1,STRN4,HUWE1,FUS,AGO1,HSCB,GTPBP1,XBP1,HNRNPL
1328,AK6,LMF2,CABIN1,RBM41,ASCC2,IRAK3,ZW10,IGBP1,CLSPN,CBY1,POLDIP3,RTCB,NFKBIB
1329,FCN1,RHBDD3,TBC1D10A,BIRC5,MTMR3,LYZ,ALG9,FXYD5,RFFL,TOMM22,PPP6R2,JOSD1,SNRNP70
1330,MYNN,PACSIN2,SF3A1,LAG3,MIEF1,MUL1,ACOX3,ZNF302,UNC13D,XBP1,SBF1,FBXO7,CLPTM1
1331,MECOM,AP1B1,SEC14L2,MLF2,APOL1,TFAP4,MTMR2,GRAMD1A,MFSD11,RTCB,SUN2,GTPBP1,RELB
1332,SCAMP1,HMGXB4,SPECC1L,OTUB2,MYH9,PDCD7,PPP1R15A,FXYD3,DPYSL2,JOSD1,CYB5R3,POLDIP3,PPP1R37
1333,PREP,TOM1,PPIL2,DDX24,SAMM50,SPG21,HSD17B14,HEPH,GPATCH2,FBXO7,DNAL4,PPP6R2,FCGRT
1334,HACE1,CHKB,YPEL1,ZBTB25,TXN2,DNAJB11,TRIP6,CDIP1,NUP50,GTPBP1,LMF2,SBF1,PIH1D1
1335,SEH1L,BIK,SNRPD3,NECAP1,GRAP2,P3H2,ACHE,GANAB,COMT,POLDIP3,RHBDD3,SUN2,PLEKHJ1
1336,WDR47,HMOX1,PES1,ARHGAP4,EIF3D,FLT3LG,FTL,RBM41,CECR1,PPP6R2,PACSIN2,CYB5R3,RNASEH2A
1337,WDFY1,THOC5,MAPK1,DHX32,TNRC6B,GNPTG,SRRT,LAG3,ECHDC1,SBF1,AP1B1,DNAL4,CD37
1338,OVGP1,MCM5,GGT1,RCOR1,SGSM3,ZNF268,BAX,MLF2,LRRFIP2,SUN2,HMGXB4,LMF2,SF3A2
1339,SLC25A24,APOBEC3H,SLC35E4,GPATCH2L,IFT27,GOLGA3,NLK,DDX24,SEC22C,CYB5R3,TOM1,RHBDD3,OAZ1
1340,MAP3K4,ARSA,TOP3B,LTBP4,KIAA0930,PABPC4,PIGS,ZBTB25,XYLB,DNAL4,CHKB,PACSIN2,TRMT1
1341,PILRA,TSPO,CYTH4,BLVRB,NCF4,CERS4,ADAMTS2,NECAP1,HDAC6,LMF2,BIK,TTLL1,STX10
1342,IGSF9,CBX7,DGCR14,SLC9A1,SLC25A17,MCOLN1,ATXN7L3,ARHGAP4,CDC6,RHBDD3,HMOX1,AP1B1,CCDC130
1343,ZNF213,RPL3,MFNG,SPTLC1,FAM118A,USP48,PGS1,DHX32,UPRT,PACSIN2,THOC5,HMGXB4,PTOV1
1344,AKR1B1,ZMAT5,SLC25A1,PAPOLA,KCTD17,EFNB1,PSMC5,RCOR1,CDC23,AP1B1,MCM5,TOM1,AES
1345,CPNE3,TAB1,GRK3,CCNK,ST13,PDPR,UIMC1,GPATCH2L,AAAS,HMGXB4,ARSA,CHKB,SGTA
1346,RRN3,ASCC2,GGA1,RGS1,IL2RB,AARS,CETP,LTBP4,CBX5,TOM1,TSPO,HMOX1,LILRB1
1347,CTTN,MTMR3,SH3BP1,YPEL3,RBX1,GLG1,MMP2,BLVRB,SUCO,CHKB,CBX7,MCAT,MED25
1348,MTIF2,MIEF1,LGALS1,MRPS33,EP300,TNRC6A,LPCAT2,SLC9A1,MSH2,BIK,RPL3,THOC5,C19ORF53
1349,DDHD2,APOL1,HPS4,NDUFB2,L3MBTL2,PLEKHG2,OGFOD1,SPTLC1,MAP3K1,HMOX1,ZMAT5,MCM5,TIMM44
1350,TTC39A,MYH9,PIK3IP1,NUDC,RANGAP1,NAT14,SH3BP2,PAPOLA,DHPS,MCAT,SYNGR1,ARSA,IL27RA
1351,EPS15,SAMM50,SRRD,MAEA,ZC3H7B,EXOC1,NOP14,CCNK,HOOK2,THOC5,ASCC2,TSPO,VRK3
1352,MGST2,TXN2,PATZ1,ICAM1,PHF5A,RBM27,ADD1,PCBP4,ARCN1,MCM5,MTMR3,TTLL12,FAM32A
1353,CHERP,GRAP2,TRIOBP,STRN4,ACO2,OSBPL8,L2HGDH,RGS1,TMEM38B,APOBEC3H,MIEF1,CBX7,RASAL3
1354,ATG16L1,EIF3D,TFIP11,IRAK3,POLR3H,DTX2,TXNDC16,YPEL3,PSMD5,ARSA,APOL1,RPL3,AKAP8
1355,USP40,TNRC6B,GCAT,LYZ,TRMU,NLRC4,C14ORF166,MRPS33,PTGS1,TSPO,MYH9,ZMAT5,POP4
1356,POMGNT1,SGSM3,ANKRD54,MUL1,PMM1,PUS7,NID2,NDUFB2,NUP188,CBX7,SAMM50,SYNGR1,URI1
1357,MAST2,IFT27,EIF3L,TFAP4,DESI1,DLD,GMCL1,NUDC,CRAT,RPL3,TXN2,TAB1,PDCD5
1358,DNAJA1,KIAA0930,SNU13,PDCD7,CERK,WDR7,SF3B2,MAEA,SH2D3C,ZMAT5,GRAP2,ASCC2,RPS16
1359,B4GALT1,NCF4,POLR2F,SPG21,BRD1,TXNL1,KLHL42,ICAM1,NANS,SYNGR1,EIF3D,MTMR3,FBL
1360,CHMP5,SLC25A17,DEPDC5,DNAJB11,ZBED4,CMTM6,GNAS,STRN4,TBC1D2,TAB1,TNRC6B,MIEF1,GPI
1361,NFX1,FAM118A,PICK1,P3H2,HDAC10,ITGA6,DNM1L,IRAK3,WHRN,ASCC2,SGSM3,APOL1,AKT2
1362,DIMT1,KCTD17,TTC28,FLT3LG,KHNYN,RAPGEF4,PTHLH,LYZ,CWF19L1,MTMR3,IFT27,MYH9,PLD3
1363,IPO11,ST13,DDX17,GNPTG,FKBP3,AC013461.1,ERGIC2,MUL1,BTAF1,MIEF1,KIAA0930,SAMM50,CCDC94
1364,FOLH1,IL2RB,TCF20,ZNF268,SDR39U1,FH,AURKA,PDCD7,IKZF5,APOL1,NCF4,TXN2,TBCB
1365,EIF2AK1,RBX1,HSCB,GOLGA3,GZMH,SEL1L3,CASS4,SPG21,BLNK,MYH9,CSF2RB,EIF3D,POLR2I
1366,EPDR1,EP300,CBY1,PABPC4,GZMB,CDV3,PIR,DNAJB11,BAMBI,SAMM50,SLC25A17,TNRC6B,SLC1A5
1367,SNX10,L3MBTL2,TOMM22,CD209,RBM23,ALKBH5,AAMDC,P3H2,WAC,TXN2,FAM118A,SGSM3,PRKD2
1368,SEPHS1,RANGAP1,XBP1,CERS4,PRMT5,NLRP1,RFX2,FLT3LG,CREM,GRAP2,ST13,IFT27,HNRNPUL1
1369,MRPL28,ZC3H7B,RTCB,MCOLN1,AP4S1,SPAG7,METTL2A,RAB11FIP3,NUBP2,EIF3D,IL2RB,KIAA0930,TGFB1
1370,ITPKC,PHF5A,JOSD1,USP48,VCPKMT,ORC6,SULT2B1,GNPTG,HIVEP1,TNRC6B,RBX1,NCF4,DENND3
1371,CEACAM6,ACO2,FBXO7,EFNB1,SOS2,ZC3HC1,ALG6,ZNF268,TREM2,SGSM3,EP300,CSF2RB,ATP5SL
1372,RBM22,POLR3H,GTPBP1,PDPR,NIN,ESR1,CNOT3,GOLGA3,FKBP5,IFT27,L3MBTL2,SLC25A17,PLIN3
1373,TMED2,TRMU,POLDIP3,AARS,PSMC6,TMEM101,PTPN4,PABPC4,SRPK1,KIAA0930,RANGAP1,UPK3A,MRPL4
1374,ERO1B,PMM1,TIMP3,GLG1,GNPNAT1,CD200,DDX18,CERS4,BRPF3,NCF4,ZC3H7B,FAM118A,RPS19
1375,ZFAND6,DESI1,PPP6R2,KIF4A,DDHD1,PSME1,KHSRP,MCOLN1,MRPS18A,SLC25A17,PHF5A,KCTD17,GLTSCR2
1376,TXLNG,CERK,SUN2,TNRC6A,CDKN3,PPP2R3C,GNA11,USP48,PGC,FAM118A,ACO2,ST13,NKG7
1377,LAT2,BRD1,CYB5R3,PLEKHG2,CNIH1,HAUS4,ASAP3,EFNB1,TMEM14A,KCTD17,POLR3H,IL2RB,ETFB
1378,HUWE1,ZBED4,DNAL4,NAT14,CGRRF1,JPH4,EDEM2,PDPR,EFHC1,ST13,TRMU,RBX1,BABAM1
1379,ZW10,HDAC10,LMF2,EXOC1,ATP6V1D,SLC7A8,TPX2,AARS,HSP90AB1,IL2RB,PMM1,EP300,TYK2
1380,ALG9,KHNYN,PACSIN2,RBM27,PIGH,OSGEP,PDRG1,GLG1,CDC5L,RBX1,DESI1,L3MBTL2,CDC37
1381,ACOX3,FKBP3,TTLL1,OSBPL8,PSMA3,SCFD1,EPB41L1,TNRC6A,ITPR3,EP300,CERK,RANGAP1,NAPA
1382,MTMR2,SDR39U1,AP1B1,DTX2,VTI1B,G2E3,DOCK9,PLEKHG2,ZNF184,L3MBTL2,BRD1,ZC3H7B,RABAC1
1383,PPP1R15A,GZMH,HMGXB4,NLRC4,TIMM9,HECTD1,ANKRD10,NAT14,SIRT1,RANGAP1,HDAC10,PHF5A,KDELR1
1384,HSD17B14,GZMB,TOM1,PUS7,GSTZ1,HNRNPC,TGDS,PITPNM2,HNRNPH3,ZC3H7B,KHNYN,ACO2,CYTH2
1385,TRIP6,RBM23,CHKB,LAMB1,KIAA0586,SUPT16H,C3ORF18,EXOC1,IFT74,PHF5A,FKBP3,POLR3H,GRWD1
1386,ACHE,PRMT5,BIK,DLD,TMED8,TOX4,COQ9,RBM27,JAK2,ACO2,SDR39U1,TRMU,CARD8
1387,FTL,AP4S1,HMOX1,WDR7,AHSA1,GEMIN2,KIF9,OSBPL8,IL12RB1,POLR3H,GZMH,PMM1,RAB3D
1388,SRRT,VCPKMT,MCAT,TXNL1,DAAM1,TINF2,ARHGAP28,DTX2,ABL1,TRMU,GZMB,DESI1,CAPS
1389,BAX,SOS2,THOC5,CMTM6,SPTLC2,TRPM7,CRLS1,PUS7,ACOT7,PMM1,RBM23,CERK,BCAT2
1390,NLK,NIN,MCM5,ITGA6,RIN3,WDR76,PPP1R13B,LAMB1,SH3GLB1,DESI1,PRMT5,BRD1,PPP2R1A
1391,PIGS,PSMC6,ARSA,AC013461.1,LGMN,CAPN3,ATRN,SLC26A4,CDC7,CERK,COCH,ZBED4,WDR83OS
1392,TMPRSS11E,GNPNAT1,TSPO,FH,ALKBH1,SNAP23,SMOX,DLD,SCD,BRD1,AP4S1,HDAC10,GCDH
1393,ATXN7L3,DDHD1,CBX7,SEL1L3,SNW1,PHGDH,SIGLEC1,WDR7,TMED1,ZBED4,VCPKMT,ABHD4,DNASE2
1394,PGS1,CDKN3,RPL3,CDV3,ITPK1,EZR,FKBP1A,TXNL1,ABLIM1,HDAC10,SOS2,KHNYN,LENG1
1395,PSMC5,CNIH1,ZMAT5,MYO15A,DHRS7,MYL6,NSFL1C,CMTM6,ERMP1,ABHD4,NIN,FKBP3,PRPF31
1396,UIMC1,CGRRF1,RBFOX2,ALKBH5,PPM1A,AGO1,C20ORF194,ITGA6,RAB18,KHNYN,PSMC6,SDR39U1,TFPT
1397,MMP2,ATP6V1D,SYNGR1,NLRP1,ERH,CLSPN,EBF4,RAPGEF4,PRTFDC1,FKBP3,GNPNAT1,GZMH,RPL18A
1398,MT3,PIGH,TAB1,SPAG7,HIF1A,RFFL,CPXM1,AC013461.1,H2AFY2,SDR39U1,DDHD1,GZMB,KCNN1
1399,LPCAT2,PSMA3,ASCC2,ORC6,SUSD6,UNC13D,MAVS,FH,FAM21A,GZMH,CDKN3,RBM23,ARRDC2
1400,OGFOD1,VTI1B,MTMR3,ZC3HC1,SRSF5,MFSD11,LZTS3,SEL1L3,MAST3,GZMB,CNIH1,PRMT5,ELL
1401,SH3BP2,TIMM9,MIEF1,ESR1,EIF5,DPYSL2,XRN2,CDV3,MZF1,RBM23,CGRRF1,AP4S1,COPE
1402,NOP14,GSTZ1,APOL4,ANGPT2,DICER1,TGFB2,KIZ,ALKBH5,OCEL1,PRMT5,ATP6V1D,VCPKMT,DDX49
1403,ADD1,KIAA0586,APOL1,TMEM101,ZFYVE21,GPATCH2,DYNLL1,NLRP1,MYO9B,AP4S1,PIGH,SOS2,ARMC6
1404,L2HGDH,TMED8,MYH9,PSME1,MTHFD1,NUP50,TESC,SPAG7,KCNK6,VCPKMT,PSMA3,NIN,TMEM147
1405,TXNDC16,AHSA1,SAMM50,PPP2R3C,ZC3H14,COMT,SNX5,ORC6,CATSPERG,SOS2,VTI1B,PYGL,USF2
1406,C14ORF166,DAAM1,TXN2,HAUS4,TELO2,CECR1,RPL6,ZC3HC1,PSMD8,NIN,TIMM9,PSMC6,LSR
1407,GMCL1,SPTLC2,GRAP2,JPH4,PCNX1,ECHDC1,SIRPG,ANGPT2,FBXL19,PSMC6,GSTZ1,GNPNAT1,FKBP8
1408,SF3B2,RIN3,EIF3D,SLC7A8,GSKIP,LRRFIP2,MAPKAPK5,TMEM101,SETD1A,GNPNAT1,KIAA0586,DDHD1,SUGP1
1409,KLHL42,LGMN,TNRC6B,OSGEP,VRK1,SEC22C,P2RX7,CD200,BCL7C,DDHD1,TMED8,CNIH1,SCN1B
1410,GNAS,ALKBH1,SGSM3,SCFD1,PSMC1,XYLB,ESF1,CCDC80,CIRBP,CNIH1,AHSA1,CGRRF1,ERF
1411,DNM1L,SNW1,IFT27,G2E3,RPS6KA5,HDAC6,RBBP9,PSME1,ATP5D,CGRRF1,DAAM1,ATP6V1D,ATP13A1
1412,PTHLH,ITPK1,PVALB,HECTD1,PPP4R3A,UPRT,ANAPC5,PPP2R3C,HNRNPM,ATP6V1D,SPTLC2,PIGH,SIPA1L3
1413,PHACTR3,DHRS7,KIAA0930,HNRNPC,C14ORF93,CDC23,SLC23A2,HAUS4,MARCH2,PIGH,RIN3,PSMA3,ETHE1
1414,ERGIC2,PPM1A,NCF4,SUPT16H,PSMB5,AAAS,SLC8B1,JPH4,NDUFB7,PSMA3,LGMN,VTI1B,SMG9
1415,TFAP2C,ERH,CSF2RB,TOX4,YY1,CBX5,TMEM230,OSGEP,TECR,VTI1B,ALKBH1,TIMM9,AVL9
1416,AURKA,HIF1A,SLC25A17,GEMIN2,ACIN1,SUCO,DZANK1,SLC22A17,TIMM13,TIMM9,SNW1,GSTZ1,GTPBP10
1417,PIR,SUSD6,FAM118A,TINF2,CCNB1IP1,MSH2,KDM2B,SCFD1,CDC34,GSTZ1,ITPK1,KIAA0586,CDK6
1418,AAMDC,SRSF5,ST13,TRPM7,TRIP11,MAP3K1,TASP1,G2E3,MTAP,KIAA0586,DHRS7,TMED8,PMPCB
1419,RFX2,EIF5,RBX1,WDR76,APEX1,DHPS,OAS1,HECTD1,POLR2E,TMED8,PPM1A,AHSA1,DNAJC2
1420,METTL2A,DICER1,EP300,CAPN3,PABPN1,HOOK2,GCN1,HNRNPC,POLRMT,AHSA1,ERH,DAAM1,BET1
1421,SULT2B1,ZFYVE21,L3MBTL2,SNAP23,ARHGAP5,ARCN1,RPLP0,SUPT16H,IZUMO4,DAAM1,HIF1A,SPTLC2,NAMPT
1422,ALG6,MTHFD1,RANGAP1,PHGDH,CINP,TMEM38B,PXN,TOX4,RASSF7,SPTLC2,SUSD6,RIN3,TWISTNB
1423,CNOT3,ZC3H14,ZC3H7B,EZR,SRP54,PSMD5,KIF16B,GEMIN2,GADD45B,RIN3,SRSF5,LGMN,HBP1
1424,PTPN4,TELO2,PHF5A,MYL6,CHD8,PTGS1,TRMT6,TINF2,MKNK2,ALKBH1,EIF5,ALKBH1,DUS4L
1425,DDX18,PCNX1,ACO2,AGO1,PCK2,NUP188,PEBP1,SEMA6A,TRMT2A,SNW1,DICER1,SNW1,SP4
1426,KHSRP,GSKIP,POLR3H,CLSPN,DCAF11,CRAT,TBX5,TRPM7,RANBP1,ITPK1,ZFYVE21,ITPK1,WDR91
1427,GNA11,VRK1,TRMU,RFFL,PSMA6,SH2D3C,BRAP,TYRO3,ZDHHC8,DHRS7,MTHFD1,DHRS7,CBLL1
1428,ASAP3,PSMC1,PMM1,UNC13D,NFKBIA,NANS,ERP29,WDR76,KLHL22,PPM1A,TCL1A,PPM1A,MTPN
1429,EDEM2,RPS6KA5,DESI1,MFSD11,EMC9,TBC1D2,FUS,CAPN3,MED15,ERH,ZC3H14,ERH,MPP6
1430,TPX2,PPP4R3A,CERK,DPYSL2,PSME2,WHRN,IGBP1,SNAP23,SNAP29,HIF1A,TELO2,HIF1A,ZC3HAV1
1431,PDRG1,PSMB5,BRD1,TGFB2,BRMS1L,CWF19L1,FXYD5,EZR,CRKL,SUSD6,PCNX1,SUSD6,H2AFV
1432,EPB41L1,YY1,ZBED4,GPATCH2,REC8,BTAF1,ZNF302,MYL6,LZTR1,SRSF5,GSKIP,SRSF5,CAV1
1433,DOCK9,ACIN1,HDAC10,NUP50,TM9SF1,IKZF5,GRAMD1A,AGO1,MMP11,EIF5,VRK1,EIF5,DNAJB6
1434,ANKRD10,CCNB1IP1,ABHD4,COMT,SEC23A,BLNK,FXYD3,RFFL,SMARCB1,DICER1,PSMC1,DICER1,SSBP1
1435,TGDS,TRIP11,KHNYN,CECR1,GMPR2,BAMBI,HEPH,UNC13D,DERL3,ZFYVE21,RPS6KA5,ZFYVE21,HIBADH
1436,DOCK3,APEX1,FKBP3,ECHDC1,PNN,WAC,CDIP1,MFSD11,BCL2L13,MTHFD1,PPP4R3A,MTHFD1,TAX1BP1
